Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-08,783.75,755.0,807.0,755.0,807.0,807.0,784.12,51,3998995000.0,,50.0,0.9804
2010-01-11,807.0,825.0,825.0,790.0,804.8,804.8,793.9,897,71212650000.0,,697.0,0.777
2010-01-12,804.8,800.0,805.0,790.0,790.0,790.0,799.36,426,34052605000.0,,401.0,0.9413
2010-01-13,790.0,787.0,787.0,720.0,767.0,767.0,758.53,359,27231290000.0,,164.0,0.4568
2010-01-14,767.0,769.0,798.0,769.0,785.1,785.1,791.73,317,25097850000.0,,122.0,0.3849
2010-01-15,785.1,768.5,805.0,768.5,798.7,797.05,798.21,6965,5.5595001e+11,,5069.0,0.7278
2010-01-18,797.05,808.0,808.0,791.0,800.0,799.55,800.12,140,11201675000.0,,109.0,0.7786
2010-01-19,799.55,804.0,805.0,791.5,791.5,792.4,802.6,2420,1.94229845e+11,,2359.0,0.9748
2010-01-20,792.4,800.9,800.9,783.25,787.55,786.45,793.07,527,41795025000.0,,158.0,0.2998
2010-01-21,786.45,751.0,800.0,751.0,784.0,780.0,779.69,980,76409590000.0,,951.0,0.9704
2010-01-22,780.0,775.0,780.0,736.1,780.0,780.0,770.71,400,30828290000.0,,270.0,0.675
2010-01-25,780.0,765.0,787.95,745.0,753.7,753.7,761.74,818,62309955000.0,,649.0,0.7934
2010-01-27,753.7,765.0,765.0,751.0,752.9,752.35,759.36,558,42372140000.0,,428.0,0.767
2010-01-28,752.35,752.35,765.0,741.0,754.9,752.45,748.8,125,9360045000.0,,49.0,0.392
2010-01-29,752.45,750.0,750.0,730.0,730.0,730.0,736.87,132,9726675000.0,,90.0,0.6818
2010-02-01,730.0,697.1,782.0,697.1,753.0,753.35,748.38,792,59271775000.0,,346.0,0.4369
2010-02-02,753.35,800.0,800.0,765.0,770.05,770.35,784.11,1572,1.2326196e+11,,673.0,0.4281
2010-02-03,770.35,764.0,783.0,764.0,781.0,779.25,774.09,1095,84762980000.0,,685.0,0.6256
2010-02-04,779.25,778.15,794.9,770.2,776.7,775.15,775.77,325,25212480000.0,,255.0,0.7846
2010-02-05,775.15,772.25,772.25,740.1,759.9,755.2,751.83,390,29321400000.0,,229.0,0.5872
2010-02-06,755.2,775.0,775.0,741.65,751.95,751.95,755.01,124,9362125000.0,,106.0,0.8548
2010-02-08,751.95,765.05,770.0,756.0,758.15,760.25,761.16,344,26183810000.0,,216.0,0.6279
2010-02-09,760.25,766.0,789.0,760.1,789.0,786.5,771.42,498,38416785000.0,,164.0,0.3293
2010-02-10,786.5,785.0,795.0,780.0,785.05,785.05,783.07,794,62175440000.0,,781.0,0.9836
2010-02-11,785.05,795.0,814.0,792.05,798.0,801.25,799.79,1051,84058350000.0,,964.0,0.9172
2010-02-15,801.25,810.0,810.0,775.0,785.0,785.45,789.07,1790,1.4124295e+11,,1613.0,0.9011
2010-02-16,785.45,799.95,799.95,784.15,792.0,788.7,787.1,2148,1.6906892e+11,,2041.0,0.9502
2010-02-17,788.7,804.0,810.0,789.35,803.55,803.65,802.87,1737,1.394592e+11,,1343.0,0.7732
2010-02-18,803.65,809.85,914.45,808.0,866.0,871.1,880.83,38206,3.365310935e+12,,6382.0,0.167
2010-02-19,871.1,860.0,884.95,845.0,860.0,865.95,865.17,11640,1.007054005e+12,,4779.0,0.4106
2010-02-22,865.95,880.0,890.0,874.5,880.0,880.2,881.21,3271,2.88242395e+11,,2121.0,0.6484
2010-02-23,880.2,893.0,928.0,872.0,917.8,914.15,908.66,11868,1.078401845e+12,,3235.0,0.2726
2010-02-24,914.15,920.0,940.0,910.0,926.45,923.4,926.71,8727,8.0873848e+11,,3473.0,0.398
2010-02-25,923.4,939.0,939.6,910.0,915.0,916.2,918.78,5490,5.0440927e+11,,2831.0,0.5157
2010-02-26,916.2,862.05,919.95,862.05,908.0,907.3,901.36,1890,1.70357435e+11,,880.0,0.4656
2010-03-02,907.3,949.4,949.4,892.0,900.0,898.2,901.11,6883,6.20233105e+11,,4240.0,0.616
2010-03-03,898.2,900.0,900.0,863.0,869.1,869.95,877.32,8592,7.5379705e+11,,5418.0,0.6306
2010-03-04,869.95,883.9,900.0,865.0,895.0,889.75,892.4,6626,5.91306655e+11,,3903.0,0.589
2010-03-05,889.75,895.0,895.0,881.25,881.25,885.7,890.08,592,52692505000.0,,464.0,0.7838
2010-03-08,885.7,889.85,899.9,885.0,892.0,892.2,891.77,2000,1.78353925e+11,,1426.0,0.713
2010-03-09,892.2,888.0,895.0,873.2,885.65,875.1,884.59,415,36710570000.0,,230.0,0.5542
2010-03-10,875.1,890.0,890.0,867.25,870.0,870.0,882.61,1341,1.1835826e+11,,1188.0,0.8859
2010-03-11,870.0,853.3,884.0,853.3,873.95,868.45,874.97,532,46548420000.0,,326.0,0.6128
2010-03-12,868.45,860.05,889.9,860.05,880.05,880.3,875.41,669,58565160000.0,,535.0,0.7997
2010-03-15,880.3,865.55,880.0,862.0,864.95,864.8,870.55,887,77217750000.0,,686.0,0.7734
2010-03-16,864.8,865.0,930.0,864.95,901.0,895.85,909.81,13443,1.22305418e+12,,4507.0,0.3353
2010-03-17,895.85,908.9,915.0,893.3,905.0,904.85,906.21,1858,1.68374505e+11,,1555.0,0.8369
2010-03-18,904.85,905.0,905.0,880.1,881.25,882.05,892.37,541,48277105000.0,,237.0,0.4381
2010-03-19,882.05,880.05,899.9,880.05,888.0,891.35,889.34,632,56206110000.0,,425.0,0.6725
2010-03-22,891.35,896.0,925.05,895.0,901.25,905.6,912.83,4170,3.8064831e+11,,2960.0,0.7098
2010-03-23,905.6,873.15,925.0,873.15,906.25,905.9,909.14,2166,1.96919395e+11,,1726.0,0.7969
2010-03-25,905.9,910.0,920.0,890.1,890.1,891.7,903.49,2295,2.073503e+11,,1131.0,0.4928
2010-03-26,891.7,910.7,915.95,900.0,914.0,909.05,908.91,1312,1.19249645e+11,,797.0,0.6075
2010-03-29,909.05,925.0,934.0,910.25,912.0,913.3,922.09,7531,6.94422505e+11,,5352.0,0.7107
2010-03-30,913.3,915.05,920.0,870.0,881.0,887.3,902.33,2353,2.1231888e+11,,1376.0,0.5848
2010-03-31,887.3,885.0,897.85,883.0,883.0,883.5,885.32,8511,7.53497695e+11,,7864.0,0.924
2010-04-01,883.5,888.25,915.0,885.65,887.0,898.45,898.91,1583,1.42297275e+11,,896.0,0.566
2010-04-05,898.45,905.0,914.0,888.0,905.0,906.1,904.08,1146,1.03607685e+11,,668.0,0.5829
2010-04-06,906.1,895.05,905.05,890.6,890.6,893.15,900.36,1740,1.5666205e+11,,1514.0,0.8701
2010-04-07,893.15,915.95,916.0,900.05,902.1,905.05,906.49,1218,1.10410775e+11,,798.0,0.6552
2010-04-08,905.05,895.0,910.95,895.0,900.5,902.2,900.51,733,66007260000.0,,501.0,0.6835
2010-04-09,902.2,872.05,907.5,872.05,886.0,890.2,894.68,1676,1.4994859e+11,,499.0,0.2977
2010-04-12,890.2,888.05,903.0,883.5,903.0,894.3,894.1,1202,1.074708e+11,,580.0,0.4825
2010-04-13,894.3,899.75,902.0,867.0,870.0,875.05,883.1,1621,1.43150745e+11,,1223.0,0.7545
2010-04-15,875.05,864.0,906.95,864.0,900.0,900.0,900.2,2965,2.66910015e+11,,2487.0,0.8388
2010-04-16,900.0,900.15,905.0,880.0,890.0,890.0,897.71,10434,9.366741e+11,,9701.0,0.9297
2010-04-19,890.0,872.05,904.9,872.05,900.0,900.3,897.02,1753,1.57246745e+11,,1431.0,0.8163
2010-04-20,900.3,893.05,912.0,893.05,910.0,907.2,906.76,3174,2.878058e+11,,2111.0,0.6651
2010-04-21,907.2,906.0,945.0,900.0,919.95,914.05,921.28,11535,1.06269901e+12,,6407.0,0.5554
2010-04-22,914.05,907.5,950.0,907.5,920.1,935.8,936.74,5089,4.7670481e+11,,3192.0,0.6272
2010-04-23,935.8,952.55,952.55,935.25,945.2,947.25,944.52,1377,1.30061065e+11,,1267.0,0.9201
2010-04-26,947.25,944.75,950.0,917.25,933.0,938.35,940.22,1880,1.7676122e+11,,245.0,0.1303
2010-04-27,938.35,922.2,947.25,922.2,939.0,935.55,938.02,315,29547610000.0,,218.0,0.6921
2010-04-28,935.55,923.05,933.95,923.05,925.5,927.0,926.57,309,28630860000.0,,209.0,0.6764
2010-04-29,927.0,880.0,940.0,880.0,940.0,937.0,932.83,2013,1.8777825e+11,,1876.0,0.9319
2010-04-30,937.0,940.0,940.0,935.0,935.05,935.0,936.66,212,19857125000.0,,187.0,0.8821
2010-05-03,935.0,940.0,940.0,930.0,937.0,937.65,935.06,391,36560900000.0,,391.0,1.0
2010-05-04,937.65,930.0,945.0,911.05,940.0,924.1,933.88,3090,2.88570425e+11,,2959.0,0.9576
2010-05-05,924.1,928.8,963.75,911.1,963.75,930.1,925.48,1766,1.6344041e+11,,688.0,0.3896
2010-05-06,930.1,980.0,980.0,929.05,954.7,942.45,939.23,1788,1.6793456e+11,,1156.0,0.6465
2010-05-07,942.45,924.15,960.0,915.55,956.0,947.85,945.12,4160,3.93171005e+11,,3544.0,0.8519
2010-05-10,947.85,952.1,953.95,923.0,935.0,933.05,929.05,6644,6.1725921e+11,,5492.0,0.8266
2010-05-11,933.05,925.55,934.95,925.55,934.9,933.3,927.82,104,9649330000.0,,88.0,0.8462
2010-05-12,933.3,935.05,943.75,907.15,935.0,935.95,923.45,2337,2.15809745e+11,,1597.0,0.6834
2010-05-13,935.95,930.05,948.0,930.05,947.95,942.45,941.43,309,29090285000.0,,282.0,0.9126
2010-05-14,942.45,942.5,969.0,942.5,969.0,946.8,949.79,8513,8.0855736e+11,,6739.0,0.7916
2010-05-17,946.8,930.0,985.0,928.0,985.0,971.5,967.65,3529,3.41483695e+11,,3232.0,0.9158
2010-05-18,971.5,899.0,1165.8,899.0,1121.0,1130.4,1119.27,25341,2.83634142e+12,,9620.0,0.3796
2010-05-19,1130.4,1129.95,1129.95,1056.0,1070.25,1069.9,1096.41,4601,5.0445705e+11,,1856.0,0.4034
2010-05-20,1069.9,1100.0,1108.95,1051.5,1055.0,1060.3,1071.74,1550,1.66119055e+11,,480.0,0.3097
2010-05-21,1060.3,1020.0,1218.0,1010.0,1082.8,1095.8,1137.54,414100,4.7105605895e+13,,24818.0,0.0599
2010-05-24,1095.8,1109.4,1109.4,1045.0,1055.0,1065.0,1074.33,45171,4.852866825e+12,,4793.0,0.1061
2010-05-25,1065.0,1064.0,1119.0,1025.0,1025.0,1029.85,1082.1,63400,6.86048777e+12,,6865.0,0.1083
2010-05-26,1029.85,1043.0,1089.0,1025.0,1026.0,1037.5,1054.58,19015,2.00527742e+12,,3060.0,0.1609
2010-05-27,1037.5,1020.0,1050.0,1020.0,1025.0,1028.0,1036.16,8698,9.0125418e+11,,2268.0,0.2607
2010-05-28,1028.0,1060.0,1060.0,1010.05,1026.7,1025.35,1030.71,13945,1.437319605e+12,,8431.0,0.6046
2010-05-31,1025.35,1028.0,1035.5,1005.0,1018.0,1016.55,1020.99,7192,7.3429512e+11,,2372.0,0.3298
2010-06-01,1016.55,1005.25,1088.4,1005.25,1035.0,1044.65,1032.07,9929,1.02474002e+12,,4948.0,0.4983
2010-06-02,1044.65,1035.0,1055.0,1020.0,1037.0,1028.45,1030.68,9244,9.52763665e+11,,7151.0,0.7736
2010-06-03,1028.45,1067.5,1067.5,1025.0,1030.0,1030.5,1035.99,2432,2.51953515e+11,,1134.0,0.4663
2010-06-04,1030.5,1030.0,1078.4,1022.05,1056.0,1056.45,1058.08,10236,1.08304974e+12,,2592.0,0.2532
2010-06-07,1056.45,1049.0,1090.0,1036.2,1075.7,1081.2,1070.65,8649,9.26004855e+11,,2352.0,0.2719
2010-06-08,1081.2,1085.0,1211.85,1070.25,1136.6,1142.95,1161.47,87690,1.018492655e+13,,9729.0,0.1109
2010-06-09,1142.95,1145.1,1188.0,1132.0,1158.0,1161.65,1164.0,25348,2.95049644e+12,,3397.0,0.134
2010-06-10,1161.65,1140.05,1180.0,1140.05,1144.0,1147.05,1161.93,7809,9.0734808e+11,,2475.0,0.3169
2010-06-11,1147.05,1159.0,1167.95,1140.0,1145.3,1146.7,1152.0,5610,6.46272195e+11,,2498.0,0.4453
2010-06-14,1146.7,1085.0,1164.95,1085.0,1126.5,1130.15,1136.61,5914,6.7219387e+11,,2952.0,0.4992
2010-06-15,1130.15,1131.2,1184.0,1118.0,1149.95,1151.7,1156.55,17990,2.08063902e+12,,8769.0,0.4874
2010-06-16,1151.7,1158.0,1165.0,1115.0,1155.0,1136.05,1141.76,7372,8.41705415e+11,,3402.0,0.4615
2010-06-17,1136.05,1144.95,1149.8,1118.05,1129.0,1126.15,1132.74,3506,3.9714021e+11,,2010.0,0.5733
2010-06-18,1126.15,1140.0,1140.85,1116.15,1120.0,1120.05,1130.53,3177,3.5916871e+11,,1848.0,0.5817
2010-06-21,1120.05,1121.1,1143.55,1097.9,1129.9,1109.45,1114.22,15853,1.766377645e+12,,12058.0,0.7606
2010-06-22,1109.45,1125.0,1130.0,1105.0,1120.0,1120.2,1117.57,3360,3.7550212e+11,,1926.0,0.5732
2010-06-23,1120.2,1118.0,1139.9,1096.0,1118.0,1125.1,1123.93,4360,4.9003509e+11,,1319.0,0.3025
2010-06-24,1125.1,1119.2,1139.0,1110.0,1114.3,1117.25,1124.47,2621,2.9472424e+11,,868.0,0.3312
2010-06-25,1117.25,1105.0,1128.9,1082.55,1084.2,1092.75,1107.95,5076,5.6239669e+11,,2609.0,0.514
2010-06-28,1092.75,1090.0,1181.0,1090.0,1106.0,1107.65,1110.95,3474,3.85943925e+11,,1034.0,0.2976
2010-06-29,1107.65,1049.85,1175.0,1049.85,1156.5,1156.75,1155.45,29543,3.413541825e+12,,10194.0,0.3451
2010-06-30,1156.75,1165.0,1165.0,1123.0,1148.0,1130.9,1132.86,9874,1.11858599e+12,,6104.0,0.6182
2010-07-01,1130.9,1155.0,1156.0,1111.0,1115.0,1118.15,1124.68,8111,9.122276e+11,,5799.0,0.715
2010-07-02,1118.15,1129.95,1178.0,1120.0,1178.0,1157.85,1147.81,8072,9.2651221e+11,,4754.0,0.5889
2010-07-05,1157.85,1141.6,1198.0,1141.6,1187.1,1187.5,1183.23,8950,1.058987775e+12,,3959.0,0.4423
2010-07-06,1187.5,1170.25,1266.2,1170.25,1240.0,1241.45,1228.65,24248,2.97923885e+12,,10318.0,0.4255
2010-07-07,1241.45,1201.0,1268.7,1192.35,1216.6,1224.95,1236.2,15976,1.974949165e+12,,5437.0,0.3403
2010-07-08,1224.95,1249.95,1261.9,1221.0,1222.0,1226.45,1240.27,6810,8.44623035e+11,,2184.0,0.3207
2010-07-09,1226.45,1236.0,1243.8,1222.05,1225.05,1227.3,1230.11,4827,5.9377392e+11,,1414.0,0.2929
2010-07-12,1227.3,1239.9,1254.0,1214.0,1244.5,1243.7,1230.24,5030,6.18809305e+11,,2824.0,0.5614
2010-07-13,1243.7,1244.2,1255.0,1234.0,1241.0,1237.9,1244.36,3682,4.58174675e+11,,1500.0,0.4074
2010-07-14,1237.9,1243.0,1249.9,1225.35,1239.9,1237.15,1235.39,2585,3.19347365e+11,,1245.0,0.4816
2010-07-15,1237.15,1225.0,1246.5,1215.15,1218.0,1220.8,1226.64,2139,2.62379305e+11,,1138.0,0.532
2010-07-16,1220.8,1230.4,1230.4,1210.1,1213.6,1216.9,1222.91,2743,3.3544409e+11,,1657.0,0.6041
2010-07-19,1216.9,1200.25,1233.0,1200.25,1220.05,1219.9,1219.96,4275,5.21532995e+11,,1993.0,0.4662
2010-07-20,1219.9,1222.3,1230.9,1206.0,1224.0,1222.15,1219.37,4245,5.1762426e+11,,2370.0,0.5583
